"","date","location","state","latitude","longitude"
"179","2020/08/01","Düsseldorf","Nordrhein-Westfalen",51.2230411,6.7824545
"180","2020/08/01","Erfurt","Thüringen",50.9847679,11.0298799
"181","2020/08/01","Bochum","Nordrhein-Westfalen",51.4818445,7.2162363
"182","2020/08/01","Dorsten","Nordrhein-Westfalen",51.6559681,6.9642606
"183","2020/08/01","Elsterwerda","Brandenburg",51.4632578,13.5202201
"184","2020/07/31","Essen","Nordrhein-Westfalen",51.4556432,7.0115552
"185","2020/07/31","Essen","Nordrhein-Westfalen",51.4556432,7.0115552
"186","2020/07/31","Brühl","Nordrhein-Westfalen",50.8267554,6.8987865
"187","2020/07/31","Magdeburg","Sachsen-Anhalt",52.1205333,11.6276237
"188","2020/07/30","Hatzfeld","Hessen",50.9943302,8.5451582
"189","2020/07/30","Pforzheim","Baden-Württemberg",48.8921862,8.6946286
"190","2020/07/30","Dresden","Sachsen",51.0504088,13.7372621
"191","2020/07/29","Grünstadt","Rheinland-Pfalz",49.5633016,8.1683938
"192","2020/07/29","Geisenhausen","Bayern",48.4744462,12.2569674
"193","2020/07/29","Haldensleben","Sachsen-Anhalt",52.2827293,11.4170506
"194","2020/07/29","Suhl","Thüringen",50.6076846,10.6881255
"195","2020/07/29","Wetter","Nordrhein-Westfalen",51.3860225,7.3914998
"196","2020/07/28","Wörth","Rheinland-Pfalz",49.0514423,8.257338
"197","2020/07/28","Kaufbeuren","Bayern",47.8830175,10.625966
"198","2020/07/28","Salzwedel","Sachsen-Anhalt",52.8496504,11.1514876
"199","2020/07/28","Berlin","Berlin",52.5200066,13.404954
"200","2020/07/27","Mössingen","Baden-Württemberg",48.4071646,9.0563024
"201","2020/07/27","Eberswalde","Brandenburg",52.837133,13.7875871
"202","2020/07/27","Berghülen","Baden-Württemberg",48.4637389,9.761712
"203","2020/07/27","Friedland","Niedersachsen",51.421098,9.9121688
"204","2020/07/27","Trier","Rheinland-Pfalz",49.749992,6.6371433
"205","2020/07/27","Öhringen","Baden-Württemberg",49.199931,9.5029492
"206","2020/07/27","Dresden","Sachsen",51.0504088,13.7372621
"207","2020/07/26","Krefeld","Nordrhein-Westfalen",51.3345409,6.565208
"208","2020/07/26","Buchholz","Niedersachsen",53.3176971,9.8694845
"209","2020/07/26","Mainz","Rheinland-Pfalz",49.9928617,8.2472526
"210","2020/07/26","Hamburg","Hamburg",53.5488282,9.9871703
"211","2020/07/26","Offenburg","Baden-Württemberg",48.473451,7.9498017
"212","2020/07/26","Hamburg","Hamburg",53.5488282,9.9871703
"213","2020/07/26","Burg Stargard","Mecklenburg-Vorpommern",53.4960733,13.3164948
"214","2020/07/25","Berlin","Berlin",52.5200066,13.404954
"215","2020/07/25","Magdeburg","Sachsen-Anhalt",52.1205333,11.6276237
"216","2020/07/25","Krefeld","Nordrhein-Westfalen",51.3345409,6.565208
"217","2020/07/25","Großrückerswalde","Sachsen",50.6296993,13.1176699
"218","2020/07/24","Lauchhammer","Brandenburg",51.4977789,13.7730322
"219","2020/07/24","Landshut","Bayern",48.5441917,12.1468532
"220","2020/07/24","Torgau","Sachsen",51.557934,12.991583
"221","2020/07/24","Deggendorf","Bayern",48.8414126,12.9572212
"222","2020/07/24","Halle","Sachsen-Anhalt",51.4953567,11.9662371
"223","2020/07/24","Krefeld","Nordrhein-Westfalen",51.3345409,6.565208
"224","2020/07/23","Bad Liebenstein","Thüringen",50.8153059,10.3497433
"225","2020/07/23","Strausberg","Brandenburg",52.5659128,13.8777546
"226","2020/07/23","Reutlingen","Baden-Württemberg",48.4912389,9.2046411
"227","2020/07/23","Dresden","Sachsen",51.0504088,13.7372621
"228","2020/07/23","Plattenburg","Brandenburg",52.9589526,12.0287781
"229","2020/07/23","Erfurt","Thüringen",50.9847679,11.0298799
"230","2020/07/23","Herxheimweyher","Rheinland-Pfalz",49.152285,8.2520269
"231","2020/07/23","Cottbus","Brandenburg",51.7563108,14.3328679
"232","2020/07/23","Gnarrenburg","Niedersachsen",53.3854081,9.0043726
"233","2020/07/23","Kaufbeuren","Bayern",47.8830175,10.625966
"234","2020/07/23","Chemnitz","Sachsen",50.8282222,12.9208547
"235","2020/07/23","Bad Aibling","Bayern",47.8640182,12.0093171
"236","2020/07/22","Stuttgart","Baden-Württemberg",48.7758459,9.1829321
"237","2020/07/22","Plattenburg","Brandenburg",52.9589526,12.0287781
"238","2020/07/22","Bielefeld","Nordrhein-Westfalen",52.0302285,8.5324708
"239","2020/07/22","Naumburg","Sachsen-Anhalt",51.1520283,11.8142454
"240","2020/07/22","Völklingen","Saarland",49.2556226,6.8588948
"241","2020/07/22","Burg Stargard","Mecklenburg-Vorpommern",53.4960733,13.3164948
"242","2020/07/21","München","Bayern",48.1351253,11.5819806
"243","2020/07/21","Küstriner Vorland","Brandenburg",52.5659958,14.5721535
"244","2020/07/21","Hanau","Hessen",50.1264123,8.9283105
"245","2020/07/21","Feilitzsch","Bayern",50.362288,11.9341628
"246","2020/07/21","Burg Stargard","Mecklenburg-Vorpommern",53.4960733,13.3164948
"247","2020/07/21","Völklingen","Saarland",49.2556226,6.8588948
"248","2020/07/21","Plattenburg","Brandenburg",52.9589526,12.0287781
"249","2020/07/21","Dresden","Sachsen",51.0504088,13.7372621
"250","2020/07/21","Ludwigshafen","Rheinland-Pfalz",49.4774018,8.4447451
"251","2020/07/21","Dresden","Sachsen",51.0504088,13.7372621
"252","2020/07/21","Stendal","Sachsen-Anhalt",52.6041444,11.8517729
"253","2020/07/20","Salzwedel","Sachsen-Anhalt",52.8496504,11.1514876
"254","2020/07/20","Krefeld","Nordrhein-Westfalen",51.3345409,6.565208
"255","2020/07/20","Müncheberg","Brandenburg",52.5069173,14.1281615
"256","2020/07/20","Suhl","Thüringen",50.6076846,10.6881255
"257","2020/07/20","Hannover","Niedersachsen",52.3758916,9.7320104
"258","2020/07/20","Neubrandenburg","Mecklenburg-Vorpommern",53.5678292,13.2779269
"259","2020/07/20","Deidesheim","Rheinland-Pfalz",49.4118337,8.1836121
"260","2020/07/20","Neubrandenburg","Mecklenburg-Vorpommern",53.5678292,13.2779269
"261","2020/07/20","Magdala","Thüringen",50.9074194,11.4454277
"262","2020/07/20","Magdeburg","Sachsen-Anhalt",52.1205333,11.6276237
"263","2020/07/20","Frankenthal","Rheinland-Pfalz",49.5377072,8.3560768
"264","2020/07/20","Leer","Niedersachsen",53.235657,7.4679018
"265","2020/07/20","Duisburg","Nordrhein-Westfalen",51.4344079,6.7623293
"266","2020/07/20","Königsdorf","Bayern",47.8163918,11.481009
"267","2020/07/18","Magdeburg","Sachsen-Anhalt",52.1205333,11.6276237
"268","2020/07/18","Köln","Nordrhein-Westfalen",50.937531,6.9602786
"269","2020/07/18","Greifswald","Mecklenburg-Vorpommern",54.0865463,13.3923414
"270","2020/07/18","Köln","Nordrhein-Westfalen",50.937531,6.9602786
"271","2020/07/18","Potsdam","Brandenburg",52.3905689,13.0644729
"272","2020/07/17","Halle","Sachsen-Anhalt",51.4953567,11.9662371
"273","2020/07/17","Bergheim","Nordrhein-Westfalen",50.9451945,6.6555022
"274","2020/07/17","Dresden","Sachsen",51.0504088,13.7372621
"275","2020/07/17","Bad Frankenhausen","Thüringen",51.3561014,11.1016361
"276","2020/07/17","Sersheim","Baden-Württemberg",48.9588468,9.012917
"277","2020/07/17","Leipzig","Sachsen",51.3396955,12.3730747
"278","2020/07/17","Göhren","Mecklenburg-Vorpommern",54.3415908,13.7409077
"279","2020/07/17","Nürnberg","Bayern",49.4521018,11.0766654
"280","2020/07/17","Altenburg","Thüringen",50.9931202,12.4366572
"281","2020/07/17","Kiel","Schleswig-Holstein",54.3232927,10.1227652
"282","2020/07/16","Hamburg","Hamburg",53.5488282,9.9871703
"283","2020/07/16","Halle","Sachsen-Anhalt",51.4953567,11.9662371
"284","2020/07/16","Hatten","Niedersachsen",53.0540807,8.2529751
"285","2020/07/16","Sangerhausen","Sachsen-Anhalt",51.4725415,11.2995045
"286","2020/07/16","Ingolstadt","Bayern",48.7667395,11.4226498
"287","2020/07/16","Hamburg","Hamburg",53.5488282,9.9871703
"288","2020/07/16","Eckental","Bayern",49.5741786,11.2013519
"289","2020/07/16","Dresden","Sachsen",51.0504088,13.7372621
"290","2020/07/15","Dresden","Sachsen",51.0504088,13.7372621
"291","2020/07/15","Oschersleben","Sachsen-Anhalt",52.0271323,11.22858
"292","2020/07/15","Gera","Thüringen",50.8850706,12.0807203
"293","2020/07/15","München","Bayern",48.1351253,11.5819806
"294","2020/07/15","Berlin","Berlin",52.5200066,13.404954
"295","2020/07/15","Haar","Bayern",48.1103758,11.7321151
"296","2020/07/15","Norderstedt","Schleswig-Holstein",53.6993066,10.0008798
"297","2020/07/14","Oppach","Sachsen",51.0566522,14.5050441
"298","2020/07/14","Aschaffenburg","Bayern",49.9806625,9.1355554
"299","2020/07/14","Hartmannsdorf","Sachsen",50.8866383,12.8009793
"300","2020/07/14","Backnang","Baden-Württemberg",48.9471455,9.4341813
"301","2020/07/14","Luckenwalde","Brandenburg",52.0917718,13.1738324
"302","2020/07/14","Sersheim","Baden-Württemberg",48.9588468,9.012917
"303","2020/07/14","Löbau","Sachsen",51.0962292,14.6701781
"304","2020/07/14","Magdeburg","Sachsen-Anhalt",52.1205333,11.6276237
"305","2020/07/13","Sassnitz","Mecklenburg-Vorpommern",54.5159131,13.6331916
"306","2020/07/13","Torgau","Sachsen",51.557934,12.991583
"307","2020/07/13","Börßum","Niedersachsen",52.0671767,10.5783385
"308","2020/07/13","Hennigsdorf","Brandenburg",52.6320478,13.2011404
"309","2020/07/13","Sassnitz","Mecklenburg-Vorpommern",54.5159131,13.6331916
"310","2020/07/12","Rudolstadt","Thüringen",50.7182972,11.3336548
"311","2020/07/11","Suhl","Thüringen",50.6076846,10.6881255
"312","2020/07/11","Zwickau","Sachsen",50.7176452,12.4968797
"313","2020/07/11","Heidelberg","Baden-Württemberg",49.3987524,8.6724335
"314","2020/07/11","Suhl","Thüringen",50.6076846,10.6881255
"315","2020/07/11","Lebach","Saarland",49.4039607,6.9045054
"316","2020/07/10","Berlin","Berlin",52.5200066,13.404954
"317","2020/07/10","Berlin","Berlin",52.5200066,13.404954
"318","2020/07/10","Zeven","Niedersachsen",53.2939692,9.2759477
"319","2020/07/10","Bad Liebenwerda","Brandenburg",51.5178252,13.4009404
"320","2020/07/10","Passau","Bayern",48.5667364,13.4319466
"321","2020/07/09","Lassan","Mecklenburg-Vorpommern",53.9476977,13.8487883
"322","2020/07/09","Ebersberg","Bayern",48.0753354,11.9717235
"323","2020/07/09","Stolberg","Nordrhein-Westfalen",50.7730884,6.2251934
"324","2020/07/09","Wemding","Bayern",48.8744277,10.7236307
"325","2020/07/09","Völklingen","Saarland",49.2556226,6.8588948
"326","2020/07/09","Hamburg","Hamburg",53.5488282,9.9871703
"327","2020/07/09","Dresden","Sachsen",51.0504088,13.7372621
"328","2020/07/09","München","Bayern",48.1351253,11.5819806
"329","2020/07/08","Neuenstadt","Baden-Württemberg",49.2340208,9.3333325
"330","2020/07/07","Neumünster","Schleswig-Holstein",54.0729431,9.9840158
"331","2020/07/07","Halle","Sachsen-Anhalt",51.4953567,11.9662371
"332","2020/07/07","Fürth","Bayern",49.4771169,10.988667
"333","2020/07/07","Eisenhüttenstadt","Brandenburg",52.1436615,14.6419022
"334","2020/07/07","Neubrandenburg","Mecklenburg-Vorpommern",53.5678292,13.2779269
"335","2020/07/06","Lunden","Schleswig-Holstein",54.3280598,9.0229284
"336","2020/07/06","Rheinberg","Nordrhein-Westfalen",51.5460798,6.5899097
"337","2020/07/06","Ingolstadt","Bayern",48.7667395,11.4226498
"338","2020/07/06","Güstrow","Mecklenburg-Vorpommern",53.8002129,12.1745703
"339","2020/07/06","Weißensberg","Bayern",47.5813145,9.7253379
"340","2020/07/05","Oranienburg","Brandenburg",52.7557351,13.2408643
"341","2020/07/05","Dortmund","Nordrhein-Westfalen",51.5135872,7.4652981
"342","2020/07/04","Salzwedel","Sachsen-Anhalt",52.8496504,11.1514876
"343","2020/07/04","Gemünden","Rheinland-Pfalz",49.8957978,7.4803401
"344","2020/07/04","Frankfurt am Main","Hessen",50.1109221,8.6821267
"345","2020/07/04","Hamburg","Hamburg",53.5488282,9.9871703
"346","2020/07/04","München","Bayern",48.1351253,11.5819806
"347","2020/07/03","Chemnitz","Sachsen",50.8282222,12.9208547
"348","2020/07/03","Karstädt","Brandenburg",53.1628303,11.7452754
"349","2020/07/03","Wittstock","Brandenburg",53.1631855,12.4859969
"350","2020/07/03","Wismar","Mecklenburg-Vorpommern",53.8879706,11.4621371
"351","2020/07/03","Freiberg","Sachsen",50.9160943,13.3468175
"352","2020/07/03","Legde/Quitzöbel","Brandenburg",52.9179361,11.9634972
"353","2020/07/03","Naumburg","Sachsen-Anhalt",51.1520283,11.8142454
"354","2020/07/03","Legde/Quitzöbel","Brandenburg",52.9179361,11.9634972
"355","2020/07/02","Emmendingen","Baden-Württemberg",48.1216285,7.8514309
"356","2020/07/02","Meißen","Sachsen",51.1617842,13.4976592
"357","2020/07/02","Kressbronn","Baden-Württemberg",47.5968864,9.5982209
"358","2020/07/02","Krefeld","Nordrhein-Westfalen",51.3345409,6.565208
"359","2020/07/02","Hanau","Hessen",50.1264123,8.9283105
"360","2020/07/01","Herne","Nordrhein-Westfalen",51.5368948,7.2009147
"361","2020/07/01","Erfurt","Thüringen",50.9847679,11.0298799
"362","2020/07/01","Rüsselsheim","Hessen",49.9887497,8.4216976
"363","2020/07/01","Dresden","Sachsen",51.0504088,13.7372621
"364","2020/07/01","Medard","Rheinland-Pfalz",49.6671224,7.6111351
"365","2020/07/01","Chemnitz","Sachsen",50.8282222,12.9208547
"366","2020/07/01","Königs Wusterhausen","Brandenburg",52.2958906,13.6228382
"367","2020/07/01","Horb","Baden-Württemberg",48.442078,8.6848512
"368","2020/06/30","Erfurt","Thüringen",50.9847679,11.0298799
"369","2020/06/30","Emsdetten","Nordrhein-Westfalen",52.1681893,7.531058
"370","2020/06/30","Parchim","Mecklenburg-Vorpommern",53.4250382,11.8478394
"371","2020/06/30","Schwalbach","Thüringen",51.0109892,10.845346
"372","2020/06/30","Sexau","Baden-Württemberg",48.0933712,7.8979842
"373","2020/06/29","Wittenberge","Brandenburg",52.9950038,11.752484
"374","2020/06/29","Braunschweig","Niedersachsen",52.2688736,10.5267696
"375","2020/06/29","Göggingen","Baden-Württemberg",48.8608674,9.8835717
"376","2020/06/29","Erfurt","Thüringen",50.9847679,11.0298799
"377","2020/06/28","Dresden","Sachsen",51.0504088,13.7372621
"378","2020/06/28","Prenzlau","Brandenburg",53.3173433,13.8633409
"379","2020/06/27","Wangen","Baden-Württemberg",48.7266437,9.6094952
"380","2020/06/27","Jena","Thüringen",50.927054,11.5892372
